target,model_family,model,feature_group,n_samples,n_features,mae,rmse,r2
target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,2582,19,0.035422711872298146,0.0537601573746064,0.9410695793984942
target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,2582,19,0.035974096395928086,0.05522548625782613,0.9769062205965098
target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,2582,19,0.7724543506053734,1.1344211568610467,0.9461970677405317
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,2582,19,0.5194738630295375,1.0280747357241957,0.9590871042625213
